
B a
灝 -12.455454930646289D
灣 -9.341939621435914D
灤 -11.069160569526398D
火 -8.779154258739213D
灯 -10.376013388966452D
灰 -11.762307750086343D
灵 -7.152150022587214D
灶 -10.951377533870016D
灼 -12.049989822538125D
灿 -9.81639760103103D
炀 -8.124721590359957D
炅 -10.583652753744698D
炉 -12.049989822538125D
炎 -8.098746103956698D
炒 -12.455454930646289D
炕 -12.455454930646289D
炜 -9.81639760103103D
炫 -10.663695461418234D
炬 -11.20269196215092D
炳 -7.33149095124303D
炸 -11.762307750086343D
点 -8.741882863941981D
為 -6.20741205613786D
炼 -10.376013388966452D
炽 -10.583652753744698D
烁 -13.148602111206234D
烂 -9.53768419856201D
烃 -13.148602111206234D
烈 -8.39501192009987D
烊 -12.049989822538125D
烏 -8.03060829878948D
烘 -13.148602111206234D
烙 -13.148602111206234D
烛 -10.846017018212189D
烟 -9.236579105778087D
烦 -11.20269196215092D
烧 -10.509544781590975D
烨 -12.049989822538125D
烩 -13.148602111206234D
烫 -13.148602111206234D
热 -9.298454509496176D
烯 -10.204163132039794D
烴 -13.148602111206234D
烷 -10.509544781590975D
焉 -10.663695461418234D
焓 -13.148602111206234D
焕 -8.87193599219018D
焙 -10.951377533870016D
焚 -11.35684264197818D
無 -7.891106739178453D
焦 -10.376013388966452D
焯 -13.148602111206234D
焱 -12.455454930646289D
然 -9.071064667300515D
煉 -10.376013388966452D
煊 -11.762307750086343D
煌 -9.410932492922866D
煎 -12.455454930646289D
煒 -9.81639760103103D
煙 -9.236579105778087D
煞 -12.455454930646289D
煥 -8.87193599219018D
煦 -9.929726286338033D
照 -8.37791748674057D
煩 -11.20269196215092D
煬 -8.124721590359957D
煮 -10.951377533870016D
熄 -13.148602111206234D
熊 -9.341939621435914D
熏 -11.35684264197818D
熒 -11.539164198772134D
熔 -11.20269196215092D
熘 -13.148602111206234D
熠 -13.148602111206234D
熨 -12.455454930646289D
熱 -9.298454509496176D
熾 -10.583652753744698D
燁 -12.049989822538125D
燃 -11.539164198772134D
燈 -10.376013388966452D
燎 -12.455454930646289D
燒 -10.509544781590975D
燕 -7.524584605018896D
燙 -13.148602111206234D
營 -8.320288373903933D
燦 -9.81639760103103D
燭 -10.846017018212189D
燮 -9.81639760103103D
燴 -13.148602111206234D
爆 -12.049989822538125D
爍 -13.148602111206234D
爐 -12.049989822538125D
爛 -9.53768419856201D
爭 -7.96121630536548D
爰 -12.455454930646289D
爱 -5.902234031103774D
爵 -8.637742604689384D
父 -9.341939621435914D
爷 -10.204163132039794D
爸 -13.148602111206234D
爹 -12.049989822538125D
爺 -10.204163132039794D
爽 -9.256781813095607D
爾 -4.145408917459662D
爿 -13.148602111206234D
片 -10.509544781590975D
牛 -8.369478618094705D
牟 -10.663695461418234D
牡 -10.663695461418234D
牢 -9.714614906721089D
牧 -8.105176994286987D
物 -8.659965741474094D
特 -5.3484390408132745D
犀 -11.762307750086343D
犁 -10.750706838407863D
犖 -12.049989822538125D
状 -9.236579105778087D
犹 -11.20269196215092D
狀 -9.236579105778087D
狂 -11.762307750086343D
狄 -8.791893284516643D
狐 -9.277401100298343D
狗 -8.079697908986002D
独 -7.706184400684441D
狮 -9.197358392624807D
狰 -13.148602111206234D
狸 -13.148602111206234D
狻 -9.652094549739754D
狼 -9.652094549739754D
猎 -10.25823035331007D
猗 -12.455454930646289D
猙 -13.148602111206234D
猛 -9.970548280858289D
猩 -12.049989822538125D
猪 -11.35684264197818D
猫 -10.013107895277084D
献 -5.4066342113855494D
猴 -9.682866208406507D
猶 -11.20269196215092D
猷 -10.951377533870016D
獅 -9.197358392624807D
獎 -13.148602111206234D
獨 -7.706184400684441D
獲 -13.148602111206234D
獵 -10.25823035331007D
獸 -10.152869837652243D
獻 -5.4066342113855494D
玄 -6.9440443486375445D
率 -8.671265296728027D
玉 -5.077696022418416D
王 -6.128411402894309D
玑 -13.148602111206234D
玖 -11.539164198772134D
玛 -6.981085620317893D
玢 -11.069160569526398D
玩 -11.069160569526398D
玫 -9.781306281219761D
玮 -9.970548280858289D
环 -8.616002618052978D
现 -9.929726286338033D
玲 -7.972452378632405D
玺 -10.440551910104025D
珈 -12.455454930646289D
珊 -11.069160569526398D
珍 -8.073428295972407D
珏 -11.539164198772134D
珙 -11.762307750086343D
珠 -8.421214292493893D
珧 -12.455454930646289D
班 -8.754152956533796D
珮 -13.148602111206234D
現 -9.929726286338033D
球 -9.929726286338033D
理 -7.5102474418724885D
琉 -10.846017018212189D
琏 -8.573891132702851D
琐 -11.762307750086343D
琛 -11.20269196215092D
琢 -9.890505573184752D
琦 -5.527897024367972D
琨 -11.762307750086343D
琪 -8.858142670057843D
琬 -11.069160569526398D
琮 -10.440551910104025D
琰 -11.20269196215092D
琳 -9.037728247032923D
琴 -8.858142670057843D
琼 -8.989719027846563D
瑋 -9.970548280858289D
瑚 -13.148602111206234D
瑛 -10.509544781590975D
瑜 -8.817868770919903D
瑞 -6.01291476417809D
瑟 -8.22134842604903D
瑣 -11.762307750086343D
瑤 -8.048735683382036D
瑩 -9.81639760103103D
瑪 -6.981085620317893D
瑭 -12.049989822538125D
瑶 -8.048735683382036D
瑷 -12.455454930646289D
瑾 -9.364412477287972D
璁 -12.455454930646289D
璇 -10.104079673482811D
璉 -8.573891132702851D
璋 -9.435030044501927D
璐 -10.440551910104025D
璜 -11.762307750086343D
璞 -10.750706838407863D
璣 -13.148602111206234D
璦 -12.455454930646289D
璩 -13.148602111206234D
環 -8.616002618052978D
璽 -10.440551910104025D
瓊 -8.989719027846563D
瓒 -10.846017018212189D
瓚 -10.846017018212189D
瓜 -9.714614906721089D
瓦 -6.551456409319583D
瓮 -11.20269196215092D
瓶 -11.539164198772134D
瓷 -10.951377533870016D
甄 -12.455454930646289D
甕 -11.20269196215092D
甘 -8.87193599219018D
甚 -11.35684264197818D
甜 -9.74740472954408D
生 -6.541951925008019D
產 -10.583652753744698D
用 -7.386550728426058D
甫 -8.105176994286987D
甬 -10.750706838407863D
田 -6.83686730205332D
由 -7.259724152873353D
甲 -7.478721188225714D
申 -9.141268925973764D
电 -10.509544781590975D
男 -9.682866208406507D
画 -9.890505573184752D
畅 -11.762307750086343D
界 -8.88592223416492D
畏 -10.846017018212189D
畔 -11.762307750086343D
留 -7.745924729333955D
畛 -13.148602111206234D
畢 -8.68269399255165D
略 -9.435030044501927D
番 -10.663695461418234D
畫 -9.890505573184752D
異 -8.533481594364975D
畴 -12.455454930646289D
當 -9.435030044501927D
畿 -11.35684264197818D
疆 -10.750706838407863D
疇 -12.455454930646289D
疊 -10.663695461418234D
疏 -10.951377533870016D
疑 -11.069160569526398D
疙 -12.049989822538125D
疯 -9.485040465076588D
痴 -11.762307750086343D
瘋 -9.485040465076588D
瘦 -11.762307750086343D
癸 -12.049989822538125D
登 -6.9958694165021305D
發 -6.972734841100473D
白 -6.887110426885192D
百 -6.355135978626225D
的 -9.236579105778087D
皆 -9.277401100298343D
皇 -5.948177218261277D
皋 -11.539164198772134D
皖 -10.25823035331007D
皙 -12.455454930646289D
皮 -7.6311492147415265D
皿 -13.148602111206234D
盂 -10.846017018212189D
盆 -10.376013388966452D
盈 -7.364776928876497D
益 -7.213707915586647D
盏 -12.455454930646289D
盐 -9.459722657092298D
监 -6.237851323244299D
盒 -11.35684264197818D
盖 -8.17186836878566D
盘 -8.858142670057843D
盛 -7.619173023694811D
盞 -12.455454930646289D
盟 -10.846017018212189D
盡 -9.105550843371685D
監 -6.237851323244299D
盤 -8.858142670057843D
盧 -7.55018015220786D
盪 -10.750706838407863D
目 -8.914495606608975D
盲 -11.35684264197818D
直 -8.214128178075542D
相 -6.620644193583684D
盼 -10.104079673482811D
盾 -13.148602111206234D
省 -10.013107895277084D
眉 -8.88592223416492D
看 -12.455454930646289D
真 -6.904435210542498D
眠 -11.20269196215092D
眭 -13.148602111206234D
眯 -12.455454930646289D
眺 -11.539164198772134D
眼 -9.485040465076588D
眾 -8.671265296728027D
着 -10.846017018212189D
睁 -12.049989822538125D
睛 -9.652094549739754D
睜 -12.049989822538125D
督 -8.900106869156875D
睦 -9.59325404971682D
睬 -13.148602111206234D
睹 -13.148602111206234D
瞅 -13.148602111206234D
瞇 -12.455454930646289D
瞎 -6.590404308393966D
瞻 -10.663695461418234D
瞿 -11.539164198772134D
矛 -11.762307750086343D
矜 -12.049989822538125D
知 -7.319656493596027D
矩 -13.148602111206234D
矫 -11.069160569526398D
短 -11.20269196215092D
矯 -11.069160569526398D
石 -6.904435210542498D
矿 -9.435030044501927D
砂 -13.148602111206234D
砉 -11.35684264197818D
研 -10.440551910104025D
砖 -10.509544781590975D
砚 -8.958947369179809D
砥 -10.846017018212189D
砰 -13.148602111206234D
破 -9.054257548984134D
砺 -11.069160569526398D
砻 -12.455454930646289D
础 -12.455454930646289D
硕 -8.421214292493893D
硝 -10.846017018212189D
硯 -8.958947369179809D
硼 -12.455454930646289D
碎 -10.013107895277084D
碑 -10.750706838407863D
碓 -13.148602111206234D
碗 -10.509544781590975D
碚 -13.148602111206234D
碟 -11.539164198772134D
碧 -6.8795058274999725D
碩 -8.421214292493893D
碰 -12.049989822538125D
磁 -10.25823035331007D
磊 -11.069160569526398D
磐 -11.539164198772134D
磚 -10.509544781590975D
磨 -10.663695461418234D
磬 -11.20269196215092D
磷 -11.20269196215092D
礁 -10.846017018212189D
礎 -12.455454930646289D
礦 -9.435030044501927D
礪 -11.069160569526398D
礱 -12.455454930646289D
示 -10.376013388966452D
礼 -6.8296339974597995D
社 -9.256781813095607D
祀 -12.049989822538125D
祁 -9.682866208406507D
祈 -10.013107895277084D
祖 -7.1107311912840965D
祚 -8.111649508792604D
祜 -10.750706838407863D
祝 -9.364412477287972D
神 -7.468429502189167D
祠 -9.652094549739754D
祥 -6.918120663627753D
祭 -10.204163132039794D
祯 -9.852765245201905D
祷 -13.148602111206234D
祺 -7.57644807902847D
祿 -7.701864739539924D
禁 -9.364412477287972D
禄 -7.701864739539924D
禅 -9.021467726161143D
禎 -9.852765245201905D
福 -5.236911590497896D
禦 -7.380281115412462D
禧 -7.377160988076219D
禪 -9.021467726161143D
禮 -6.8296339974597995D
禱 -13.148602111206234D
禳 -12.049989822538125D
禹 -8.779154258739213D
禺 -12.455454930646289D
离 -9.256781813095607D
禾 -9.59325404971682D
秀 -6.123063796567714D
秉 -5.158025229462312D
秋 -5.528877897423564D
科 -6.385872604274355D
秒 -12.455454930646289D
秘 -8.989719027846563D
秣 -12.455454930646289D
秦 -8.553482261071645D
秧 -12.455454930646289D
秩 -10.750706838407863D
积 -8.312320204254757D
称 -7.944595424129439D
移 -9.53768419856201D
稀 -10.25823035331007D
稅 -10.152869837652243D
程 -9.256781813095607D
税 -10.152869837652243D
稗 -13.148602111206234D
稱 -7.944595424129439D
稳 -10.25823035331007D
稷 -11.539164198772134D
稻 -9.781306281219761D
稽 -10.951377533870016D
穆 -7.251448243569493D
積 -8.312320204254757D
穎 -8.494641761048712D
穗 -10.057559657847918D
穩 -10.25823035331007D
穰 -11.762307750086343D
穴 -9.511015951479848D
穷 -12.455454930646289D
空 -10.204163132039794D
突 -10.951377533870016D
窈 -12.455454930646289D
窗 -11.20269196215092D
窘 -13.148602111206234D
窝 -9.59325404971682D
窦 -11.35684264197818D
窩 -9.59325404971682D
窪 -10.663695461418234D
窮 -12.455454930646289D
竇 -11.35684264197818D
立 -5.887377019234314D
竖 -11.762307750086343D
站 -13.148602111206234D
竞 -9.970548280858289D
竟 -10.509544781590975D
章 -8.17186836878566D
童 -8.584253919738398D
端 -8.178788811630234D
競 -9.970548280858289D
竹 -8.036614322849692D
竺 -9.565083172750125D
竿 -10.951377533870016D
笃 -10.315388767150019D
笏 -12.455454930646289D
笑 -8.328320545601198D
笔 -10.440551910104025D
笕 -13.148602111206234D
笙 -12.455454930646289D
笛 -9.410932492922866D
笞 -13.148602111206234D
笥 -12.455454930646289D
符 -9.81639760103103D
第 -9.141268925973764D
笳 -10.846017018212189D
笼 -11.762307750086343D
筆 -10.440551910104025D
等 -9.622241586590073D
筏 -13.148602111206234D
筐 -11.762307750086343D
筑 -9.890505573184752D
答 -10.440551910104025D
策 -8.594725219605694D
筛 -11.20269196215092D
筝 -13.148602111206234D
筠 -11.069160569526398D
筧 -13.148602111206234D
筱 -9.435030044501927D
筹 -7.599526026311015D
签 -11.539164198772134D
简 -9.105550843371685D
箏 -13.148602111206234D
算 -11.20269196215092D
管 -8.421214292493893D
箩 -12.455454930646289D
箫 -11.539164198772134D
箭 -9.970548280858289D
箱 -10.663695461418234D
節 -9.565083172750125D
範 -9.105550843371685D
築 -9.890505573184752D
篤 -10.315388767150019D
篩 -11.20269196215092D
簡 -9.105550843371685D
簫 -11.539164198772134D
簽 -11.539164198772134D
簿 -13.148602111206234D
籁 -10.663695461418234D
籌 -7.599526026311015D
籟 -10.663695461418234D
籠 -11.762307750086343D
籮 -12.455454930646289D
籲 -13.148602111206234D
米 -6.938002034181581D
类 -10.315388767150019D
籽 -10.663695461418234D
粉 -9.511015951479848D
粒 -9.781306281219761D
粟 -12.049989822538125D
粤 -9.890505573184752D
粪 -13.148602111206234D
粮 -11.069160569526398D
粱 -11.35684264197818D
粵 -9.890505573184752D
粹 -9.929726286338033D
精 -7.3928598976193225D
糖 -9.852765245201905D
糞 -13.148602111206234D
糠 -11.539164198772134D
糧 -11.069160569526398D
系 -9.341939621435914D
紀 -6.968585457553662D
約 -8.352811565609493D
紅 -6.305918828967812D
紆 -12.049989822538125D
紇 -13.148602111206234D
紉 -13.148602111206234D
紋 -8.671265296728027D
納 -6.4753041434385805D
紐 -9.435030044501927D
紓 -11.20269196215092D
純 -9.021467726161143D
紗 -9.277401100298343D
素 -7.270866329426595D
索 -7.115515889407433D
紧 -10.951377533870016D
紫 -7.485641631070289D
細 -8.974214841310598D
紹 -6.942026184481307D
紺 -11.539164198772134D
組 -9.682866208406507D
結 -8.929094406030128D
絝 -13.148602111206234D
絡 -9.682866208406507D
給 -11.20269196215092D
絨 -10.104079673482811D
絮 -7.316719633922718D
統 -7.815883317940865D
絲 -8.494641761048712D
絳 -10.663695461418234D
絹 -10.057559657847918D
綃 -13.148602111206234D
綏 -9.59325404971682D
經 -7.237805467165707D
綜 -10.951377533870016D
綠 -6.968585457553662D
綢 -10.846017018212189D
綬 -7.714880107651995D
維 -5.7031845545045465D
綱 -9.74740472954408D
網 -10.376013388966452D
綸 -10.509544781590975D
綽 -11.20269196215092D
綿 -9.141268925973764D
緊 -10.951377533870016D
緒 -9.037728247032923D
緗 -13.148602111206234D
線 -8.87193599219018D
緣 -9.53768419856201D
緩 -9.088159100659816D
緯 -6.6473124406658455D
練 -10.204163132039794D
緹 -13.148602111206234D
縈 -9.387401995512672D
縉 -10.315388767150019D
縣 -8.4390719098939D
縱 -10.315388767150019D
總 -8.048735683382036D
績 -9.929726286338033D
繁 -9.682866208406507D
繆 -9.364412477287972D
繇 -10.315388767150019D
織 -10.951377533870016D
繞 -10.750706838407863D
繡 -9.236579105778087D
繩 -8.39501192009987D
繪 -11.069160569526398D
繭 -12.455454930646289D
繳 -12.049989822538125D
繹 -10.846017018212189D
繼 -6.442963016346232D
纈 -10.846017018212189D
續 -9.929726286338033D
纏 -10.750706838407863D
纓 -10.440551910104025D
纖 -11.35684264197818D
纡 -12.049989822538125D
红 -6.305918828967812D
纤 -11.35684264197818D
纥 -13.148602111206234D
约 -8.352811565609493D
纪 -6.968585457553662D
纫 -13.148602111206234D
纬 -6.6473124406658455D
纯 -9.021467726161143D
纱 -9.277401100298343D
纲 -9.74740472954408D
纳 -6.4753041434385805D
纵 -10.315388767150019D
纶 -10.509544781590975D
纹 -8.671265296728027D
纽 -9.435030044501927D
纾 -11.20269196215092D
线 -8.87193599219018D
绀 -11.539164198772134D
练 -10.204163132039794D
组 -9.682866208406507D
细 -8.974214841310598D
织 -10.951377533870016D
绍 -6.942026184481307D
绎 -10.846017018212189D
经 -7.237805467165707D
绒 -10.104079673482811D
结 -8.929094406030128D
绔 -13.148602111206234D
绕 -10.750706838407863D
绘 -11.069160569526398D
给 -11.20269196215092D
绛 -10.663695461418234D
络 -9.682866208406507D
统 -7.815883317940865D
绡 -13.148602111206234D
绢 -10.057559657847918D
绣 -9.236579105778087D
绥 -9.59325404971682D
继 -6.442963016346232D
绩 -9.929726286338033D
绪 -9.037728247032923D
续 -9.929726286338033D
绰 -11.20269196215092D
绳 -8.39501192009987D
维 -5.7031845545045465D
绵 -9.141268925973764D
绶 -7.714880107651995D
绸 -10.846017018212189D
综 -10.951377533870016D
绿 -6.968585457553662D
缃 -13.148602111206234D
缇 -13.148602111206234D
缓 -9.088159100659816D
缘 -9.53768419856201D
缙 -10.315388767150019D
缠 -10.750706838407863D
缨 -10.440551910104025D
缪 -9.364412477287972D
缬 -10.846017018212189D
缰 -12.049989822538125D
缴 -12.049989822538125D
缽 -10.376013388966452D
罂 -11.20269196215092D
罌 -11.20269196215092D
罐 -12.049989822538125D
网 -10.376013388966452D
罕 -10.104079673482811D
罗 -5.69272542371441D
罡 -12.049989822538125D
罩 -10.951377533870016D
罪 -11.539164198772134D
置 -7.759530381389734D
署 -10.315388767150019D
羁 -12.049989822538125D
羅 -5.69272542371441D
羈 -12.049989822538125D
羊 -7.693280995848533D
美 -6.472778889571386D
羡 -9.485040465076588D
群 -8.178788811630234D
羨 -9.485040465076588D
義 -6.071104057637003D
羲 -8.37791748674057D
羹 -10.750706838407863D
羽 -8.831113997669924D
羿 -13.148602111206234D
翁 -9.74740472954408D
翅 -8.584253919738398D
翊 -6.181634972592251D
翎 -11.20269196215092D
習 -9.622241586590073D
翔 -9.714614906721089D
翘 -10.750706838407863D
翠 -8.13132227439131D
翡 -12.455454930646289D
翥 -11.539164198772134D
翩 -12.455454930646289D
翰 -8.41240366281174D
翱 -13.148602111206234D
翹 -10.750706838407863D
翻 -10.104079673482811D
翼 -8.705950854715917D
耀 -7.179894551220869D
老 -6.026542229577092D
考 -8.504211212064861D
者 -9.565083172750125D
而 -8.671265296728027D
耐 -9.256781813095607D
耕 -8.831113997669924D
耗 -11.20269196215092D
耘 -12.455454930646289D
耳 -8.144655805260776D
耶 -7.27930519807246D
耸 -11.069160569526398D
耿 -9.622241586590073D
聂 -11.35684264197818D
聃 -13.148602111206234D
聆 -13.148602111206234D
聊 -13.148602111206234D
职 -10.440551910104025D
联 -7.855297286481742D
聖 -6.782131663474797D
聘 -11.069160569526398D
聚 -8.659965741474094D
聞 -8.158169524427498D
聪 -9.714614906721089D
聯 -7.855297286481742D
聰 -9.714614906721089D
聲 -8.791893284516643D
聳 -11.069160569526398D
聶 -11.35684264197818D
職 -10.440551910104025D
聽 -9.622241586590073D
聿 -10.315388767150019D
肃 -8.344581066472978D
肅 -8.344581066472978D
肆 -12.049989822538125D
肇 -8.741882863941981D
肉 -10.846017018212189D
肖 -9.141268925973764D
肠 -9.81639760103103D
股 -10.376013388966452D
肥 -10.951377533870016D
肩 -10.013107895277084D
肯 -9.105550843371685D
育 -7.706184400684441D
胁 -11.762307750086343D
胄 -13.148602111206234D
胆 -9.929726286338033D
背 -10.013107895277084D
胖 -9.236579105778087D
